Value 1,Value 2,Value 3,Value 4
6248,-1391,8388607,-233258
4348,-1176,8388607,-233571
2182,-769,8388607,-233607
228,-259,8388607,-233524
-1527,259,8388607,-233175
-2959,854,8388607,-232791
-3876,1414,8388607,-232578
-4043,1818,8388607,-232481
-3866,2074,8388607,-232367
-3414,2236,8388607,-232111
-2270,2266,8388607,-232083
-493,2040,8388607,-232416
1538,1601,8388607,-232662
3401,1112,8388607,-232906
5137,647,8388607,-232792
6749,70,8388607,-232767
7828,-486,8388607,-232691
8171,-891,8388607,-232547
8089,-1164,8388607,-232354
7654,-1421,8388607,-232384
6441,-1432,8388607,-232448
4575,-1200,8388607,-232466
2386,-802,8388607,-232296
414,-319,8388607,-232221
-1333,234,8388607,-232134
-2799,808,8388607,-232364
-3779,1326,8388607,-232151
-4094,1770,8388607,-231928
-3952,2004,8388607,-231728
-3538,2219,8388607,-231999
-2405,2255,8388607,-231774
-604,2023,8388607,-231604
1576,1613,8388607,-231656
3518,1121,8388607,-231649
5201,616,8388607,-231646
6739,64,8388607,-231856
7741,-462,8388607,-231968
8135,-893,8388607,-232088
7979,-1203,8388607,-232066
7501,-1433,8388607,-232214
6401,-1471,8388607,-232314
4609,-1276,8388607,-232402
2454,-876,8388607,-232353
480,-419,8388607,-232551
-1337,130,8388607,-232513
-2900,796,8388607,-232677
-3927,1276,8388607,-232321
-4294,1724,8388607,-232010
-4157,1959,8388607,-231998
-3622,2115,8388607,-231936
-2552,2193,8388607,-231824
-809,1999,8388607,-231583
1308,1568,8388607,-231603
3284,1060,8388607,-231743
5006,596,8388607,-231594
6497,-19,8388607,-231492
7532,-567,8388607,-231426
7958,-949,8388607,-231478
7848,-1254,8388607,-231758
7398,-1505,8388607,-232364
6334,-1561,8388607,-232597
4463,-1317,8388607,-232531
2281,-906,8388607,-232365
259,-419,8388607,-232447
-1579,124,8388607,-232800
-3061,694,8388607,-232969
-4142,1252,8388607,-232867
-4614,1699,8388607,-232877
-4496,1940,8388607,-232722
-3931,2151,8388607,-232672
-2806,2224,8388607,-232557
-1028,1958,8388607,-232730
1033,1562,8388607,-232907
2935,1130,8388607,-232877
4672,641,8388607,-233032
6170,98,8388607,-233181
7207,-448,8388607,-233160
7623,-890,8388607,-233220
7480,-1142,8388607,-233312
6999,-1394,8388607,-233440
5874,-1452,8388607,-233287
4084,-1212,8388607,-233420
1984,-816,8388607,-233500
-31,-404,8388607,-233436
-1840,126,8388607,-233356
-3419,739,8388607,-233436
-4509,1344,8388607,-233648
-4927,1744,8388607,-233737
-4810,2028,8388607,-233365
-4333,2224,8388607,-233047
-3234,2280,8388607,-232736
-1487,2089,8388607,-232711
589,1653,8388607,-232464
2491,1201,8388607,-232442
4214,721,8388607,-232162
5729,161,8388607,-232006
6809,-397,8388607,-231841
7246,-799,8388607,-231983
7156,-1048,8388607,-231966
6749,-1285,8388607,-232215
5683,-1324,8388607,-232406
3896,-1147,8388607,-232612
1736,-751,8388607,-232816
-271,-277,8388607,-233153
-2024,200,8388607,-233183
-3601,843,8388607,-233089
-4707,1404,8388607,-232972
-5151,1868,8388607,-233092
-5092,2163,8388607,-233073
-4634,2371,8388607,-232863
-3594,2399,8388607,-232606
-1866,2213,8388607,-232624
271,1840,8388607,-232661
2224,1381,8388607,-232976
3994,858,8388607,-233114
5598,248,8388607,-233106
6689,-257,8388607,-232961
7143,-649,8388607,-232969
7109,-991,8388607,-232904
6739,-1237,8388607,-232993
5730,-1295,8388607,-232894
3960,-1101,8388607,-232977
1833,-693,8388607,-232927
-187,-237,8388607,-232922
-1932,235,8388607,-232653
-3506,849,8388607,-232539
-4568,1421,8388607,-232530
-4939,1873,8388607,-232702
-4827,2160,8388607,-232641
-4366,2350,8388607,-232414
-3294,2380,8388607,-232099
-1536,2194,8388607,-232161
552,1834,8388607,-232255
2538,1398,8388607,-232413
4291,921,8388607,-232576
5871,344,8388607,-232962
7007,-206,8388607,-233120
7553,-682,8388607,-233316
7546,-991,8388607,-233404
7164,-1212,8388607,-233347
6175,-1269,8388607,-233472
4478,-1077,8388607,-233679
2374,-669,8388607,-233582
389,-206,8388607,-233727
-1358,334,8388607,-233633
-2949,932,8388607,-233427
-4041,1456,8388607,-233352
-4504,1876,8388607,-233487
-4420,2206,8388607,-233339
-3958,2442,8388607,-233118
-2897,2509,8388607,-233017
-1221,2351,8388607,-233200
824,1953,8388607,-233214
2851,1446,8388607,-233184
4633,989,8388607,-233172
6250,466,8388607,-232964
7373,-91,8388607,-232869
7806,-532,8388607,-233057
7762,-808,8388607,-232791
7399,-1045,8388607,-232714
6390,-1141,8388607,-232666
4786,-1017,8388607,-232823
2667,-646,8388607,-232922
592,-135,8388607,-232917
-1187,384,8388607,-233011
-2792,1006,8388607,-233211
-3946,1613,8388607,-233110
-4419,2041,8388607,-233124
-4377,2323,8388607,-232992
-4050,2502,8388607,-232935
-3026,2601,8388607,-232606
-1335,2455,8388607,-232566
775,2091,8388607,-232165
